Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Salsola tragus
simple	alternate	5	unfused	0 or 4 or 5	dry & splits open	superior ovary	Amaranthus cruentus
simple	alternate	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala senega
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Symphytum officinale
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago disciformis
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum nigrum
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Bupleurum rotundifolium
compound	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Oxalis dillenii
simple	alternate	3 or 5	unfused or fused	5	dry & splits open	superior ovary	Impatiens pallida
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum physalifolium
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Osmorhiza depauperata
simple	alternate	3 or 4	unfused or fused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Acalypha virginica
simple	alternate	3 or 4	unfused or fused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Acalypha rhomboidea
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza capitata
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis verna
simple	alternate	5	unfused or fused	5 or 8	dry & doesn't split open	superior ovary	Persicaria careyi
compound	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Pisum sativum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Hackelia deflexa
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Barbarea orthoceras
compound	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	13	dry & splits open	superior ovary & hypanthium	Paeonia officinalis
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Ptilimnium capillaceum
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Bunias orientalis
simple	alternate	4	unfused	1	dry & splits open	superior ovary	Lepidium virginicum
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Anoda cristata
simple	alternate	4 or 5	unfused	5	dry & doesn't split open or fleshy	inferior ovary	Comandra umbellata
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis scorpioides
simple	alternate	3	unfused or fused	3	dry & doesn't split open	inferior ovary	Proserpinaca pectinata
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Suaeda calceoliformis
simple	alternate	4	unfused or fused	5	dry & doesn't split open	superior ovary	Persicaria virginiana
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Consolida ajacis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Pulmonaria saccharata
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Draba glabella
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine bulbosa
simple	alternate	5	unfused or fused	0 or 1	dry & doesn't split open	superior ovary	Dysphania pumilio
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula glomerata
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva verticillata
simple	alternate	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala ambigua
simple	basal	4 or 5 or 6 or 7	unfused or fused	4 or 5 or 6 or 7 or 8	dry & splits open	superior ovary	Drosera rotundifolia
simple	alternate or opposite	5 or 0	unfused or fused	5	dry & doesn't split open	superior ovary	Atriplex acadiensis
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium repens
simple	alternate or opposite	5	unfused or fused	5	dry & doesn't split open	superior ovary	Anchusa arvensis
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Boechera stricta
compound	alternate	5	unfused	13	dry & splits open	superior ovary	Nigella sativa
compound	alternate	5	unfused	13	fleshy	superior ovary & hypanthium	Fragaria vesca
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva rotundifolia
simple	alternate or opposite or whorled	5	unfused or fused	1	dry & splits open	superior ovary	Veronica spuria
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erysimum capitatum
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Comarum palustre
simple	alternate or opposite	5	unfused or fused	5	dry & doesn't split open	superior ovary	Cryptantha ambigua
compound or simple	alternate or opposite	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	5	dry & doesn't split open	superior ovary	Cannabis sativa
simple	alternate	4 or 5	unfused or fused	4 or 5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta coryli
simple	alternate or opposite or whorled	5	unfused	10	dry & splits open	superior ovary	Hylotelephium telephium
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Kummerowia striata
simple	alternate	5	unfused or fused	1	dry & doesn't split open	superior ovary	Chenopodium polyspermum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Iberis amara
compound or simple	alternate	4	unfused	1	dry & splits open	superior ovary	Lepidium densiflorum
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium molle
compound or simple	alternate	4	unfused	1	dry & splits open	superior ovary	Lepidium ruderale
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Echium pustulatum
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Descurainia incana
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus micranthus
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia microcarpa
simple	alternate	5	unfused	0 or 4 or 5	dry & splits open	superior ovary	Amaranthus hybridus
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus japonicus
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus ochroleucus
simple	alternate	5	unfused or fused	5 or 8	dry & doesn't split open	superior ovary	Persicaria puritanorum
simple	alternate	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala sanguinea
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea hederacea
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago laciniata
simple	alternate	5 or 6	unfused or fused	13	dry & splits open	superior ovary	Reseda odorata
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex triangulivalvis
simple	alternate	4	unfused	13	dry & splits open	superior ovary	Glaucium flavum
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Citrullus lanatus
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Echium plantagineum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis stricta
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Symphytum tuberosum
simple	alternate	3	unfused or fused	3	dry & doesn't split open	superior ovary	Chenopodium capitatum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium paniculatum
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine pratensis
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	inferior ovary	Beta vulgaris
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Onosmodium virginianum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Suaeda maritima
simple	alternate	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Pseudabutilon stuckertii
simple	alternate or opposite	5 or 0	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex patula
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Bassia hirsuta
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Osmorhiza claytonii
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Coptidium lapponicum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum phlomoides
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla norvegica
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia cracca
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex longifolius
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera oakesiana
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Lysimachia clethroides
compound	alternate	4 or 5 or 6 or 7	unfused	13	fleshy	superior ovary	Actaea rubra
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia minor
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Baptisia tinctoria
simple	alternate or opposite or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea mucronata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium pratense
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Pimpinella anisum
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Heracleum mantegazzianum
compound	alternate	4	unfused	4	dry & doesn't split open	superior ovary & hypanthium	Sanguisorba canadensis
simple	alternate	5 or 6	unfused or fused	0 or 4 or 5 or 6	dry & doesn't split open	superior ovary	Emex spinosa
compound	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Oxalis stricta
simple	alternate	5	unfused or fused	10	dry & splits open	superior ovary & hypanthium or superior ovary or inferior ovary	Aizopsis kamtschatica
simple	alternate	5	unfused or fused	3 or 4 or 5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Polygonum bellardii
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Brassica rapa
simple	alternate	5	unfused or fused	0 or 3	dry & doesn't split open or fleshy	inferior ovary	Lagenaria siceraria
simple	alternate	4	unfused or fused	0 or 4	dry & doesn't split open	superior ovary	Parietaria judaica
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia egena
simple	alternate	5	unfused	13	dry & splits open	superior ovary	Delphinium exaltatum
simple	alternate or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea tenuifolia
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Iberis sempervirens
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus bulbosus
simple	alternate	6	unfused or fused	5	dry & splits open	inferior ovary	Echinocystis lobata
simple	alternate or opposite	4	unfused or fused	1	dry & splits open	superior ovary	Veronica arvensis
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera fruticosa
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Convolvulus arvensis
simple	alternate	4 or 5	unfused	8 or 9 or 10	dry & splits open	superior ovary	Hypopitys lanuginosa
simple	alternate or basal	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	9	dry & doesn't split open	superior ovary	Chorizanthe pungens
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Buglossoides arvensis
compound or simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Raphanus sativus
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary & hypanthium	Corrigiola litoralis
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Ornithopus sativus
simple	alternate or opposite	6	unfused or fused	6	dry & splits open	superior ovary & hypanthium	Lythrum lineare
simple	alternate or opposite	5 or 6	unfused or fused	5	dry & splits open	superior ovary	Lysimachia maritima
simple	alternate	1	unfused	1	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Monolepis nuttalliana
simple	alternate or opposite	5	unfused or fused	4	dry & splits open	superior ovary	Chaenorhinum minus
simple	alternate	5	unfused	0 or 5	dry & splits open	superior ovary	Amaranthus palmeri
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Heracleum sphondylium
simple	alternate	5	unfused or fused	8 or 9 or 10	dry & splits open	superior ovary	Phyllodoce caerulea
compound	alternate	4 or 5	unfused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium aureum
compound	alternate	4	unfused	4	dry & doesn't split open	superior ovary & hypanthium	Sanguisorba officinalis
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Barbarea vulgaris
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Melilotus officinalis
simple	alternate	4	unfused	4	dry & doesn't split open	superior ovary & hypanthium	Alchemilla monticola
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Brassica oleracea
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Hyoscyamus niger
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus sardous
simple	alternate	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Sphaeralcea mendocina
compound	alternate	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Aruncus dioicus
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium standleyanum
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Misopates orontium
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula carpatica
compound	alternate	5	unfused	13	fleshy	superior ovary & hypanthium	Potentilla indica
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Berteroa mutabilis
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus rhomboideus
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Borago officinalis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Cynoglossum officinale
simple	basal	4 or 5 or 6 or 7	unfused or fused	4 or 5 or 6 or 7 or 8	dry & splits open	superior ovary	Drosera intermedia
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis philadelphica
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa sylvestris
compound	alternate	4 or 5 or 6 or 7	unfused	13	fleshy	superior ovary	Actaea pachypoda
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Eruca vesicaria
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucumis anguria
simple	alternate	5	unfused or fused	1	dry & doesn't split open	superior ovary	Dysphania cristata
simple	alternate	4 or 5	unfused or fused	4 or 5 or 7	dry & splits open	superior ovary	Lomatogonium rotatum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Lappula occidentalis
simple	alternate	4	unfused	4	dry & splits open	inferior ovary	Ludwigia sphaerocarpa
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Consolida regalis
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana quadrivalvis
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea pandurata
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia siphilitica
simple	alternate	7	unfused	13	dry & doesn't split open	superior ovary	Ficaria verna
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Taenidia integerrima
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Tarenaya hassleriana
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Teesdalia nudicaulis
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis alkekengi
compound	alternate or basal	5	unfused or fused	5	dry & splits open	superior ovary or inferior ovary	Menyanthes trifoliata
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Barbarea verna
simple	alternate or opposite	6	unfused or fused	6	dry & splits open	superior ovary & hypanthium	Lythrum alatum
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erucastrum gallicum
simple	alternate or opposite	6	unfused or fused	4 or 6	dry & splits open	superior ovary & hypanthium	Lythrum hyssopifolia
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex alpinus
simple	alternate or basal	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia dortmanna
simple	alternate	2	unfused or fused	4	dry & splits open	superior ovary	Castilleja coccinea
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Camissonia campestris
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium ciliare
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Gossypium hirsutum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza cyrtobotrya
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Heliotropium indicum
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary	Linum intercursum
compound	alternate	4	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla anglica
compound	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	1	dry & splits open	superior ovary	Utricularia gibba
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Descurainia pinnata
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula lanata
simple	alternate or basal or whorled	5	unfused or fused	10	dry & splits open	superior ovary	Moneses uniflora
simple	alternate	5	unfused	8	dry & doesn't split open	superior ovary	Fagopyrum tataricum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium cuspidatum
simple	alternate or opposite	5 or 0	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex littoralis
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla recta
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia cardinalis
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva neglecta
compound or simple	alternate	4	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Rorippa aquatica
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia rostellata
simple	basal	5	unfused or fused	5	dry & splits open	superior ovary	Drosera linearis
simple	alternate	4	unfused	13	dry & splits open	superior ovary	Papaver somniferum
compound	alternate	4	unfused	12 or 13	dry & splits open	superior ovary	Chelidonium majus
simple	alternate or whorled	5 or 6 or 7	unfused or fused	5 or 6 or 7 or 8 or 9	dry & splits open	superior ovary	Lysimachia borealis
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Bifora radians
simple	?	7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	fleshy	inferior ovary	Opuntia humifusa
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Phaseolus polystachios
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Glycine max
simple	alternate or opposite or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea minor
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus pratensis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Symphytum asperum
simple	basal	5	unfused or fused	10	dry & splits open	superior ovary	Pyrola chlorantha
compound	alternate	4 or 5	unfused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium dubium
compound or simple	alternate	5	unfused	8 or 10	dry & splits open	superior ovary	Ruta graveolens
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Corydalis flavula
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza frutescens
compound or simple	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Coronilla scorpioides
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open	superior ovary	Modiola caroliniana
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Gilia achilleifolia
simple	alternate or opposite	5	unfused or fused	5	dry & doesn't split open	superior ovary	Plagiobothrys reticulatus
compound	alternate	6 or 7	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Filipendula ulmaria
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva sylvestris
compound	alternate	3 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia minor
simple	alternate	2 or 3 or 4 or 5 or 0	unfused	0 or 3 or 4 or 5	dry & doesn't split open	superior ovary	Amaranthus cannabinus
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex acetosella
simple	alternate or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria vulgaris
simple	alternate	4 or 5	unfused or fused	4	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Fatoua villosa
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium resupinatum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium marilandicum
simple	alternate	7	unfused	13	dry & doesn't split open	superior ovary	Nelumbo lutea
simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium or inferior ovary	Saxifraga paniculata
compound	alternate	4	unfused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Polanisia dodecandra
simple	alternate	4 or 5	unfused	0 or 5	dry & splits open	superior ovary	Amaranthus caudatus
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum villosum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium fragiferum
simple	alternate or opposite	5	unfused or fused	4	dry & splits open	superior ovary	Mazus miquelii
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Leucophysalis grandiflora
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Bupleurum lancifolium
simple	alternate	5	unfused or fused	4 or 5	dry & splits open	superior ovary	Cuscuta epithymum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana alata
simple	alternate or opposite or whorled	5	unfused or fused	1	dry & splits open	superior ovary	Veronica longifolia
compound	alternate	5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Chamaecrista fasciculata
simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Crocanthemum bicknellii
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Eryngium yuccifolium
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Apium graveolens
simple	alternate	5	unfused or fused	4 or 5	dry & doesn't split open	superior ovary	Chenopodium berlandieri
simple	alternate	3 or 4	unfused or fused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Acalypha gracilens
simple	alternate	5	unfused or fused	1	dry & doesn't split open	superior ovary	Dysphania graveolens
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine longii
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Boechera missouriensis
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta campestris
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Nuttallanthus canadensis
simple	alternate	4	unfused or fused	8	dry & splits open	inferior ovary	Oenothera parviflora
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Persicaria hydropiperoides
compound	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Polemonium reptans
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Boechera canadensis
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium purpureum
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Geum macrophyllum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia purshii
simple	alternate or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea maritima
compound	alternate	5	unfused or fused	7	dry & splits open	superior ovary & hypanthium	Senna obtusifolia
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Diplotaxis tenuifolia
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Lepidium sativum
compound	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	13	dry & splits open	superior ovary & hypanthium	Paeonia lactiflora
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Sesbania herbacea
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera nutans
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva moschata
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus allegheniensis
simple	alternate	5 or 6 or 7	unfused	6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary or inferior ovary	Portulaca oleracea
simple	alternate or opposite	5	unfused or fused	4 or 7	dry & splits open	superior ovary & hypanthium	Sabatia campestris
simple	alternate	5	unfused	1 or 5	dry & splits open	superior ovary	Viola rostrata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Astragalus eucosmus
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea tricolor
compound	alternate	4 or 5	unfused	13	dry & splits open	superior ovary	Actaea racemosa
simple	opposite	5	unfused or fused	5	dry & splits open	superior ovary	Phlox drummondii
simple	alternate	4	unfused or fused	8 or 10	fleshy	superior ovary	Gaultheria hispidula
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium striatum
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine dentata
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Datura wrightii
simple	basal	5	unfused or fused	5	dry & splits open	superior ovary	Drosera anglica
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Falcaria vulgaris
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Anethum graveolens
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Heliotropium curassavicum
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sanicula marilandica
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium echinatum
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula divaricata
simple	alternate	3 or 5	unfused or fused	6	dry & splits open	superior ovary	Polygala paucifolia
compound	alternate or basal	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Argentina egedii
simple	alternate or opposite	5	unfused or fused	1	dry & splits open	superior ovary	Veronica hederaefolia
simple	alternate or opposite	3	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex tatarica
simple	alternate	4	unfused	8	dry & splits open	superior ovary	Rhodiola rosea
