Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	white	compound	lobes||teeth and lobes||teeth	radially symmetrical	5	not fused	5	dry but does not split open	3^5	no	fused	no	no	no	0	inferior ovary, with or without hypanthium	?	two or more completely separate styles	?	no	?	?	no	2	1	2	below the point of petal attachment	white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	?	no	?	?	?	not attached to petals	lined up with sepals	no	no	?	all the flowers have both carpels and stamens	?	?	?	?	?	?	?	?	?	2	splits into sections with one or more seeds each (schizocarp)	?	3^5	?	?	no	?	flattened perpendicular to the commissure	2	?	?	?	no	no	clear and watery	clear	herb	green	no	?	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	?	?	?	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)||widest below the middle and broadly tapering at both ends (ovate)||kidney-shaped; wider than long (reniform)	uniform	?	no	?	?	?	?	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	?	?	10^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	pleasant	?	no	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Pimpinella anisum	Pimpinella	Apiaceae	Apiales
terrestrial	blue to purple||pink to red||white	compound	lobes||teeth and lobes||teeth	radially symmetrical	5	not fused	5	dry but does not split open	2^2.5	no	fused	no	no	no	0	inferior ovary, with or without hypanthium	?	two or more completely separate styles	?	no	?	?	no	2	1	2	below the point of petal attachment	blue to purple||pink to red||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	?	no	?	?	?	not attached to petals	lined up with sepals	no	no	?	all the flowers have both carpels and stamens	?	?	?	?	?	?	?	?	?	2	splits into sections with one or more seeds each (schizocarp)	?	2^2.5	?	?	no	?	flattened perpendicular to the commissure	2	?	?	?	no	no	clear and watery	clear	herb	green	no	0^8	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	?	?	?	very narrow with more or less parallel sides (linear)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	?	?	?	?	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	?	at least one full leaf above the base	30^90	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Pimpinella saxifraga	Pimpinella	Apiaceae	Apiales
terrestrial	blue to purple||green to brown||white	compound	teeth||entire	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	?	dry and splits open	50^90	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	?	2	yes	?	?	no	1	1	<=1	above the point of petal  attachment	blue to purple||green to brown||white	thin, delicate, pigmented	no||yes	?	petals longer than sepals	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	?	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	?	?	?	?	?	?	?	0	?	?	no	no	no	clear and watery	clear	vine||herb	green	no	0	20^40	?	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	widest near the middle and tapering at both ends (elliptic)||rectangular with rounded ends (oblong)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	?	?	outward-pointing teeth	4^6	one	lack a terminal leaflet (even number of leaflets per axis)	?	yes	yes	no	at least one full leaf above the base	50^200	from a leaf or leaflet	yes	?	?	two cycles	18^25	?	?||by two main valves, teeth or pores	?	no	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	2^5	?	?	?	no hairs	<=3	?	?	?	?	?	green or brown, and leaf-like in texture	green to brown	?	?	?	?	longer than wide and with rounded ends (obloid)	?	15^20	no	no	?	?	yes	no	?	?	symmetrical	yes	?	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	?	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	gradual	?	?	no	no	?	?	?	?	trail at the base, but may turn upwards at the tips	solitary plant||a few plants are growing together	?	?	?	?	?	>=1	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Pisum sativum	Pisum	Fabaceae	Fabales
terrestrial	white	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	0.7^1.7	no	fused	no	no	no	0	superior ovary and no hypanthium	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	1	1	above the point of petal  attachment	white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	yes	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	0.7^1.7	?	?	no	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)||2 leaves per node (opposite)	?	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	30^80	very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	?	no	?	?	?	entire	0	two||one	?	?	no	?	?	at least one full leaf above the base	10^40	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Plagiobothrys reticulatus	Plagiobothrys	Boraginaceae	Boraginales
terrestrial	white	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	?	no	fused	no	no	no	0	superior ovary and no hypanthium	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	1	1	above the point of petal  attachment	white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	yes	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)||2 leaves per node (opposite)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	50^100	very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	?	no	?	?	?	entire	0	two||one	?	?	no	?	?	at least one full leaf above the base	5^40	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Plagiobothrys trachycarpus	Plagiobothrys	Boraginaceae	Boraginales
terrestrial||wetlands	pink to red||white	simple	lobes||teeth and lobes	radially symmetrical	>=7||6	not fused	12||>=13	fleshy	35^55	no	solitary||not fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched||lobed at the tip, and unbranched	?	no	?	no marks	no	1	1	2	above the point of petal  attachment	pink to red||white	thin, delicate, pigmented	no	?	petals longer than sepals	6^9	?	synoecious: all flowers have carpels and stamens	no	is different	no	10^18	6	no	not attached to petals	?	no	no	at the tip of the style	?	?	?	?	?	?	orange||?||red||yellow	?	?	?	1	fleshy with the wall enclosing sections each  with two or more seeds (berry)	?	?	?	no	no	?	?	0	height is greater than width	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)||2 leaves per node (opposite)	has stalk (petiole)	rounded at the base	simple hairs with no glands	60^380	roughly circular as wide as long (orbicular)||kidney-shaped; wider than long (reniform)	uniform	100^400	no	yes	at the center of the leaf blade (like an umbrella), or somewhere between the edge and the center	is narrow where it attaches to the stem	outward-pointing teeth||lobes that radiate from the base like a hand	0	two||one	?	?	no	?	no	at least one full leaf above the base	20^60	?	no	?	?||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	15^35	?	?	rounded, with no point	no	no	0	no	radially symmetrical	no	smooth, with no hairs or scales	30^50	1	bends downwards||hangs downwards	no	no	no hairs	15^60	0	platter-shaped, the corolla flattened, circular, with nearly horizontally spreading lobes (rotate)	gradually or does not narrow	egg-shaped with the widest point above the middle (obovate)	rounded	green or brown, and leaf-like in texture	green to brown||white	roughly circular, as wide as long	all about the same size	all approximately the same length	?	widest in the middle and tapering to each end (ellipsoid)||egg-shaped (ovoid)	curve or droop downwards	20^40	no	no	0	green, with a leaf-like texture	no||yes	yes||no	no	no	symmetrical	no	the edges are curled under||flat (planar) at the edges	the major veins radiate out from one point at the base	leafy (herbaceous)	the major veins branch, but do not rejoin	?	standing up straight or curved in different directions	is dull or slightly shiny	50^150	no	?||gradual	all leaves are nearly similar in size, teeth, and length of stalks||the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves	?	?	?	?	no	no	no	upright or angled outwards	solitary plant||a few plants are growing together	yes	10^25	very thin but flexible, like a membrane||leaf-like	0	?	1^2	?	?	0	?	no	8^13	30^55	attached by its base to the filament	?	no	?	rounded	0	5^8	3^5	?	1.4^1.8	3^6	?	Podophyllum peltatum	Podophyllum	Berberidaceae	Ranunculales
terrestrial||wetlands	blue to purple||pink to red||white	compound	entire	bilaterally symmetrical	4	not fused	10||11||12||>=13	dry and splits open	40^70	no	fused	no	no	no	0	superior ovary and no hypanthium	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	1	?	above the point of petal  attachment	blue to purple||pink to red||white	thin, delicate, pigmented	no	?	?	4	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	?	?	not attached to petals	?	?	no	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	?	?	?	0	?	?	no	no	?	clear and watery	clear	?	green	no	0	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)||rounded at the base	?	?	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest above the middle (oblanceolate)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	?	?	?	entire	?	one	?	?	no	?	?	at least one full leaf above the base	>=5	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?||by two main valves, teeth or pores	?	have glands	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polanisia dodecandra	Polanisia	Cleomaceae	Brassicales
terrestrial	blue to purple	compound	entire	radially symmetrical	5	fused into a cup or tube	5	dry and splits open	?	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	unbranched, but has two or more narrow appendages	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	lined up with sepals	?	?	?	?	?	?	?	?	?	?	?	?	?	3	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	?	?	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	?	?	70^250	rectangular with rounded ends (oblong)	uniform	?	no	yes||no	?	?	entire	3^29	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	yes||no	at least one full leaf above the base	30^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	by three main valves, teeth or pores	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	no	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polemonium caeruleum	Polemonium	Polemoniaceae	Ericales
terrestrial	blue to purple||white	compound	entire	radially symmetrical	5	fused into a cup or tube	5	dry and splits open	3^4	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	unbranched, but has two or more narrow appendages	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	lined up with sepals	?	?	?	?	?	?	?	?	?	?	?	?	?	3	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	?	?	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	hairs with glands at their tips	<=50	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||rectangular with rounded ends (oblong)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	?	?	entire	5^15	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	yes	at least one full leaf above the base	5^25	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	by three main valves, teeth or pores	?	have glands	?	?	yes, and it partially covers the fruit	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polemonium micranthum	Polemonium	Polemoniaceae	Ericales
terrestrial	blue to purple||white	compound	entire	radially symmetrical	5	fused into a cup or tube	5	dry and splits open	?	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	unbranched, but has two or more narrow appendages	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals	lined up with sepals	?	?	?	?	?	?	?	?	?	?	?	?	?	3	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	?	?	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	rounded at the base	?	7^200	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest above the middle (oblanceolate)||rectangular with rounded ends (oblong)	uniform	?	no	yes||no	?	?	entire	9^17	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	no	at least one full leaf above the base	20^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	by three main valves, teeth or pores	?	no	?	?	yes, and it partially covers the fruit	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polemonium reptans	Polemonium	Polemoniaceae	Ericales
terrestrial||wetlands	blue to purple	compound	entire	radially symmetrical	5	fused into a cup or tube	5	dry and splits open	?	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	unbranched, but has two or more narrow appendages	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	lined up with sepals	?	?	?	?	?	?	?	?	?	?	?	?	?	3	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	?	?	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	rounded at the base	?	7^200	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest above the middle (oblanceolate)||rectangular with rounded ends (oblong)	uniform	?	no	yes||no	?	?	entire	11^29	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	yes	at least one full leaf above the base	40^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	by three main valves, teeth or pores	?	plain, without glands or branches, and not tangled	?	?	yes, and it partially covers the fruit	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polemonium vanbruntiae	Polemonium	Polemoniaceae	Ericales
terrestrial	?	simple	entire	radially symmetrical	?	?	3	?	?	no	?	no	?	no	0	superior ovary and no hypanthium	?	two or more completely separate styles||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	1	?	above the point of petal  attachment	green to brown	?	?	?	?	0	?	?	?	?	no	?	5	?	not attached to petals||not attached to petals	?	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	?||pericarp is loosely attached and often readily removed (utricle)	?	?	?	?	1	?	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	yes	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has no stalk	ends abruptly in a straight line as though cut off (truncate)	?	3^20	awl-shaped; narrowly tapering from the base to the tip (subulate)	uniform	?	at the tip of the leaf	?	?	?	entire	0	one	?	?	no	?	?	at least one full leaf above the base	10^30	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polycnemum majus	Polycnemum	Amaranthaceae	Caryophyllales
terrestrial	green to brown||white	simple	entire	bilaterally symmetrical	5||3	not fused||fused into a cup or tube	8	dry and splits open	1.3^1.7	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	?	no	?	1	?	above the point of petal  attachment	green to brown||white	thin, delicate, pigmented	no	?	?	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	10^20	very narrow with more or less parallel sides (linear)	uniform	1^5	no	no	?	?	entire	0	five||four||three||two||one	?	?	no	?	no	at least one full leaf above the base	10^40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	no ribs or wings	by two main valves, teeth or pores	?	no	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	no||yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	?	?	upright or angled outwards	solitary plant||a few plants are growing together	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2^14	?	?	?	?	?	?	?	?	?	?	Polygala ambigua	Polygala	Polygalaceae	Fabales
terrestrial	blue to purple||pink to red	simple	entire	bilaterally symmetrical	5||3	not fused||fused into a cup or tube	8	dry and splits open	1.5^2.4	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple||pink to red	thin, delicate, pigmented	no	?	?	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	5^15	very narrow with more or less parallel sides (linear)||lance-shaped; widest above the middle (oblanceolate)||rectangular with rounded ends (oblong)	uniform	1^5	no	no	?	?	entire	0	one	?	?	no	?	no	at least one full leaf above the base	<=30	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^2.5	no ribs or wings	by two main valves, teeth or pores	?	no	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	?	?	upright or angled outwards	solitary plant||a few plants are growing together	?	?	?	?	10^20	?	?	?	?	?	?	?	?	?	4^6	?	?	?	?	?	?	?	?	?	?	Polygala nuttallii	Polygala	Polygalaceae	Fabales
