Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
simple	blue to purple or pink to red or white	alternate	lobes	radially symmetrical	5	unfused or fused	13	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Malva moschata
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex maritimus
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Desmodium ciliare
compound or simple	white or yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Erucastrum gallicum
simple	white or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Symphytum tuberosum
compound	blue to purple or green to brown or white	alternate	teeth or entire	bilaterally symmetrical	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	blue to purple or green to brown or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	vine or herb	not parasitic	no spines or with spines	Pisum sativum
compound	blue to purple	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Desmodium glabellum
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Medicago polymorpha
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Heracleum sphondylium
simple	yellow	alternate	teeth	radially symmetrical	5	fused	5	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Thladiantha dubia
simple	yellow	alternate or basal	teeth	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus cymbalaria
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lespedeza procumbens
compound or simple	yellow	alternate	lobes or teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sinapis arvensis
simple	blue to purple or pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Myosotis laxa
simple	yellow	alternate	teeth	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Verbascum nigrum
simple	blue to purple or white or yellow	alternate	entire	bilaterally symmetrical	2 or 4 or 5	fused	4	dry & splits open	no bulbils	blue to purple or white or yellow	fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	parasitic on other plants	no spines or with spines	Orobanche minor
simple	green to brown or yellow	alternate	lobes or teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	green to brown or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Hyoscyamus niger
compound	blue to purple	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polemonium vanbruntiae
simple	orange or pink to red or white or yellow	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	orange or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ipomoea hederifolia
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex pulcher
simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	5	fused	0 or 3	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cucurbita maxima
compound or simple	blue to purple or green to brown or orange or other or pink to red or white or yellow	alternate or basal or opposite or none or whorled	lobes or teeth or entire	radially symmetrical or asymmetrical or bilaterally symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	no bulbils or with bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium or superior ovary or inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	insectivorous or parasite of fungi or not parasitic or parasitic on other plants	no spines or with spines	Eichhornia crassipes
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus abortivus
compound	blue to purple or pink to red or yellow	alternate	lobes	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Descurainia pinnata
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Anthriscus cerefolium
simple	yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Crotalaria sagittalis
simple	white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Nicotiana tabacum
simple	blue to purple or green to brown or pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Nonea rosea
compound	yellow	alternate	entire	bilaterally symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Chamaecrista nictitans
compound	blue to purple	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Desmodium marilandicum
simple	?	alternate or opposite	lobes or teeth	radially symmetrical	5	unfused or fused	5	dry & doesn't split open	no bulbils	green to brown	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	vine or herb	not parasitic	no spines or with spines	Humulus lupulus
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Barbarea verna
simple	?	alternate	entire	radially symmetrical	4	unfused or fused	0 or 4	dry & doesn't split open	no bulbils	green to brown or pink to red	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Parietaria judaica
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Potentilla simplex
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium aureum
simple	?	alternate	entire	radially symmetrical	5	fused	5	dry & splits open or dry & doesn't split open or fleshy	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Kochia scoparia
compound	white	alternate	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sanicula trifoliata
simple	blue to purple or white	alternate	teeth	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lobelia inflata
compound or simple	blue to purple or white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Arabidopsis lyrata
simple	pink to red	alternate or opposite	entire	radially symmetrical	4	unfused or fused	8	dry & splits open	no bulbils	pink to red	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Epilobium strictum
simple	white	alternate or basal	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Hydrocotyle americana
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum glaucum
simple	?	alternate	teeth	radially symmetrical	3	fused	1 or 3	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Chenopodium foliosum
simple	pink to red or white	opposite	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Phlox drummondii
simple	green to brown or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	green to brown or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Nicotiana langsdorffii
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Rorippa amphibia
simple	blue to purple	alternate	lobes	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Solanum citrullifolium
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	7 or 8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum buxiforme
compound	blue to purple or pink to red or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Desmodium rotundifolium
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Rorippa globosa
simple	green to brown or pink to red or white	alternate	teeth or entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum douglasii
compound or simple	yellow	alternate	lobes or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lepidium perfoliatum
simple	blue to purple	alternate or opposite	teeth or entire	bilaterally symmetrical	5	fused	1	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Veronica wormskjoldii
compound	blue to purple	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polemonium caeruleum
simple	?	alternate	teeth or entire	radially symmetrical	5	unfused or fused	0 or 1	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Dysphania pumilio
compound	blue to purple or white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polemonium reptans
compound	blue to purple	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & splits open	no bulbils	blue to purple	not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Baptisia australis
simple	?	alternate	teeth or entire	radially symmetrical	5	fused	4 or 5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Chenopodium berlandieri
simple	white	basal	lobes or teeth	radially symmetrical	5	unfused	10	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Tiarella cordifolia
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Diplotaxis muralis
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Boechera grahamii
compound	blue to purple or pink to red	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Comarum palustre
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	5 or 6 or 7 or 8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum aviculare
simple	white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Arabidopsis thaliana
simple	orange or pink to red or yellow	alternate	entire	radially symmetrical	4 or 5	unfused	8 or 9 or 10	dry & splits open	no bulbils	orange or pink to red or yellow	fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	parasite of fungi	no spines or with spines	Hypopitys lanuginosa
simple	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus micranthus
simple	pink to red	alternate	entire	radially symmetrical	5	fused	5 or 6 or 7 or 8	dry & doesn't split open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Bistorta officinalis
simple	blue to purple or white or yellow	alternate	teeth	bilaterally symmetrical	5	unfused	5	dry & splits open	no bulbils	blue to purple or white or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Viola arvensis
simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	5	fused	10	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium or superior ovary or inferior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aizopsis aizoon
simple	pink to red or white or yellow	alternate	teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Campanula punctata
simple	yellow	alternate	teeth	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Verbascum densiflorum
simple	white	alternate	lobes or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ipomoea pandurata
simple	blue to purple or white or yellow	alternate	lobes or teeth	radially symmetrical	5	unfused or fused	5 or 13	dry & splits open	no bulbils	blue to purple or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Abelmoschus esculentus
compound or simple	yellow	alternate	lobes	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus bulbosus
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Melilotus officinalis
compound	pink to red or yellow	alternate	lobes	radially symmetrical	5	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	pink to red or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Aquilegia canadensis
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	subshrub or herb	not parasitic	no spines or with spines	Lespedeza bicolor
compound	white	alternate	teeth	radially symmetrical	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aruncus dioicus
simple	white	alternate	lobes	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Solanum triflorum
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	vine	not parasitic	no spines or with spines	Strophostyles umbellata
simple	orange or yellow	alternate	lobes or teeth	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	orange or yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera laciniata
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Astragalus alpinus
simple	?	alternate	teeth or entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Chenopodium simplex
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lespedeza repens
simple	blue to purple or pink to red or white	alternate	teeth or entire	bilaterally symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Iberis umbellata
compound	yellow	alternate	entire	asymmetrical	5	unfused or fused	7	dry & splits open or dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Senna hebecarpa
simple	blue to purple	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cynoglossum microglochin
simple	white	alternate or opposite	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Plagiobothrys trachycarpus
simple	?	alternate	lobes or entire	radially symmetrical	5	unfused or fused	1 or 3 or 4 or 5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Dysphania botrys
simple	pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ipomopsis rubra
compound	white	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Melilotus albus
simple	pink to red or white	basal	teeth	radially symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Pyrola minor
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Hesperis matronalis
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla indica
simple	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Coptidium lapponicum
simple	white	alternate	entire	radially symmetrical	5	fused	4 or 5	dry & splits open or dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	parasitic on other plants	no spines or with spines	Cuscuta compacta
